"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",81498,101045,"East Los Angeles College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,78343,"El Camino Community College District"
"Nursing","Health/Medical Preparatory Programs.",NA,49661,"El Camino Community College District"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,80579,"El Camino Community College District"
"Nursing","Alternative and Complementary Medicine and Medical Systems.",15228,40546,"Emperor's College of Traditional Oriental Medicine"
"Nursing","Allied Health and Medical Assisting Services.",40838,46977,"Empire College"
"Nursing","Allied Health and Medical Assisting Services.",41015,48055,"Empire College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",82879,109660,"Evergreen Valley College"
"Nursing","Alternative and Complementary Medicine and Medical Systems.",NA,29725,"Five Branches University"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",107048,139682,"Foothill College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,96561,"Fresno City College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",91961,97609,"Fresno City College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",56003,82327,"Fresno Pacific University"
"Nursing","Mental and Social Health Services and Allied Professions.",40622,62514,"Fresno Pacific University"
"Nursing","Allied Health and Medical Assisting Services.",26106,23597,"Glendale Career College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",48237,59099,"Glendale Career College"
"Nursing","Clinical/Medical Laboratory Science/Research and Allied Professions.",40382,50535,"Glendale Career College"
"Nursing","Practical Nursing, Vocational Nursing and Nursing Assistants.",59140,57591,"Glendale Career College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",82984,93672,"Golden West College"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,84523,"Grossmont College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,72426,"Grossmont College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",77226,91048,"Imperial Valley College"
"Nursing","Health and Medical Administrative Services.",29313,36853,"Institute for Business and Technology"
"Nursing","Allied Health and Medical Assisting Services.",26882,42847,"Institute for Business and Technology"
"Nursing","Health and Medical Administrative Services.",NA,85444,"University of La Verne"
"Nursing","Mental and Social Health Services and Allied Professions.",NA,72140,"University of La Verne"
"Nursing","Chiropractic.",43597,49318,"Life Chiropractic College West"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",NA,65722,"Lincoln University"
"Nursing","Health/Medical Preparatory Programs.",NA,52792,"La Sierra University"
"Nursing","Communication Disorders Sciences and Services.",NA,71873,"Loma Linda University"
